	tconst	Box office max	genres
180	tt11891850	2428000000.0	Comedy,Drama
181	tt11891850	2428000000.0	Comedy,Drama
182	tt11891850	2428000000.0	Comedy,Drama
183	tt11905962	354023.0	Drama,Horror,Mystery
184	tt11940290	325070.0	Drama,Short
185	tt11947048	32000000.0	Horror,Short
186	tt11947048	32000000.0	Horror,Short
187	tt11947048	32000000.0	Horror,Short
188	tt11952606	131000000.0	Comedy
189	tt11958368	791863.0	Horror,Short
190	tt11992694	31000000.0	Biography,Drama,History
191	tt11992694	31000000.0	Biography,Drama,History
192	tt11992694	31000000.0	Biography,Drama,History
193	tt11992694	31000000.0	Biography,Drama,History
194	tt12003946	766000000.0	Action,Comedy,Thriller
195	tt12004038	32000000.0	Drama,Horror,Thriller
196	tt12004038	32000000.0	Drama,Horror,Thriller
197	tt12004038	32000000.0	Drama,Horror,Thriller
198	tt12078076	38.0	Action,Fantasy
199	tt12156272	111000000.0	Short
200	tt12193804	598000000.0	Biography,Drama,Music
201	tt12221818	4853000000.0	Drama,Short
202	tt12226632	6000000.0	Biography,Drama,Sport
203	tt12261776	607000000.0	Action,Adventure,Drama
204	tt12264966	59000000.0	Biography,Drama,Thriller
205	tt12264966	59000000.0	Biography,Drama,Thriller
206	tt12337854	63000000.0	Drama,Thriller
207	tt12354886	900000000.0	Animation,Drama,Horror
208	tt12412888	4054000000.0	Action,Adventure,Comedy
209	tt12412888	4054000000.0	Action,Adventure,Comedy
210	tt12422308	230.0	Action,Drama
211	tt12427766	39000000.0	Horror,Short
212	tt12444942	346899.0	Drama,Short
213	tt12444942	346899.0	Drama,Short
214	tt12479248	86000000.0	Drama,Short
215	tt12479248	86000000.0	Drama,Short
216	tt12484708	2549000000.0	Crime,Drama
217	tt12487826	443807.0	Sci-Fi,Short
218	tt12519030	659009.0	Drama,Fantasy,Horror
219	tt12519206	25488.0	Short,Thriller
220	tt12532368	10885116.0	Adventure,Animation,Comedy
221	tt12532368	10885116.0	Adventure,Animation,Comedy
222	tt12536294	252000000.0	Biography,Drama
223	tt12536294	252000000.0	Biography,Drama
224	tt12536294	252000000.0	Biography,Drama
225	tt12536294	252000000.0	Biography,Drama
226	tt12549474	182.0	Comedy,Drama,Horror
227	tt12593682	2393000000.0	Action,Comedy,Thriller
228	tt12598910	1670000000.0	Adventure,Horror
229	tt12664618	188000000.0	Action,Comedy,Drama
230	tt12672536	35000000.0	Action,Adventure,History
231	tt12672536	35000000.0	Action,Adventure,History
232	tt12672536	35000000.0	Action,Adventure,History
233	tt12672536	35000000.0	Action,Adventure,History
234	tt12672620	216000000.0	Action,Adventure,History
235	tt12672620	216000000.0	Action,Adventure,History
236	tt12672620	216000000.0	Action,Adventure,History
237	tt12672620	216000000.0	Action,Adventure,History
238	tt12718300	656613.0	Comedy,Crime,Mystery
239	tt12740382	32000000.0	Short,Thriller
240	tt12740382	32000000.0	Short,Thriller
241	tt12740382	32000000.0	Short,Thriller
242	tt12749596	443807.0	Horror,Mystery
243	tt12789558	49000000.0	Biography,Drama,Romance
244	tt12794388	126068.0	Drama,Fantasy,Short
245	tt12794388	126068.0	Drama,Fantasy,Short
246	tt12794388	126068.0	Drama,Fantasy,Short
247	tt12825098	2549000000.0	Horror,Short
248	tt12847812	22000000.0	Drama
249	tt12861850	4123.0	Comedy,Crime,Drama
250	tt12889404	64000000.0	Drama,Musical,Romance
251	tt12889404	64000000.0	Drama,Musical,Romance
252	tt12889404	64000000.0	Drama,Musical,Romance
253	tt12915716	354.0	Action,Adventure,Drama
254	tt12921446	137000000.0	Horror
255	tt13061914	346899.0	Comedy,Crime,Romance
256	tt13061914	346899.0	Comedy,Crime,Romance
257	tt13061966	11057.0	Drama,Romance,Short
258	tt13097336	74441.0	Action,Drama,History
259	tt13105824	32120000.0	Comedy,Drama,Fantasy
260	tt13106218	11.0	Drama,Short
261	tt13108386	32000000.0	Horror,Short
262	tt13108386	32000000.0	Horror,Short
263	tt13108386	32000000.0	Horror,Short
264	tt13130760	11.0	Action,Crime,Drama
265	tt13130948	4743.0	Action,Comedy,Drama
266	tt13131636	1936.0	Comedy,Crime,Drama
267	tt13133408	49000000.0	Short
268	tt13210170	734000000.0	Crime,Drama
269	tt1321510	452000000.0	Drama,Musical,Romance
270	tt13238346	387000000.0	Drama,Romance
271	tt13269580	19000000.0	Drama
272	tt13310238	2549000000.0	Horror,Short
273	tt13321244	49000000.0	Drama,History
274	tt13328732	12000000.0	Drama,History
275	tt13328902	4853000000.0	Sci-Fi,Short
276	tt13345606	147000000.0	Horror
277	tt13349892	428000000.0	Drama,Thriller
278	tt13352968	98000000.0	Comedy,Drama
279	tt13352968	98000000.0	Comedy,Drama
280	tt13369990	40.0	Action,Comedy,Romance
281	tt13375076	77000000.0	Horror,Thriller
282	tt13375076	77000000.0	Horror,Thriller
283	tt13375076	77000000.0	Horror,Thriller
284	tt13391708	497028.0	Drama,Fantasy,Romance
285	tt13405778	1891000000.0	Horror,Mystery,Thriller
286	tt13429870	36000000.0	Animation,Drama,Music
287	tt13439102	2549000000.0	Short
288	tt13453006	23000000.0	Comedy,Drama
289	tt13482806	1000000.0	Drama
290	tt13482806	1000000.0	Drama
291	tt13491088	29000000.0	Short,Thriller
292	tt13495458	406644.0	Drama
293	tt13496236	121967.0	Action,Thriller
294	tt13521006	115000000.0	Comedy,Drama,Horror
295	tt13528122	140272.0	Comedy,Drama,Family
296	tt13540870	445000000.0	Comedy,Short,Western
297	tt13606158	2046000000000.0	Adventure,Comedy,Family
298	tt13612186	478000000.0	Action,Fantasy
299	tt13612186	478000000.0	Action,Fantasy
300	tt13612186	478000000.0	Action,Fantasy
301	tt13612186	478000000.0	Action,Fantasy
302	tt13645322	135.0	Comedy,Family,Romance
303	tt13651794	5000000.0	Drama
304	tt13654122	45.0	Action,Drama,Romance
305	tt13655120	66000000.0	Sci-Fi,Thriller
306	tt13664684	11787.0	Action,Adventure,Fantasy
307	tt13700900	597576.0	Drama,Short
308	tt13729232	12000000.0	Drama,Thriller
309	tt13751210	2549000000.0	Drama,Short
310	tt13769630	2196000000000.0	Adventure,Comedy,Fantasy
311	tt13795334	4853000000.0	Drama,Short
312	tt13830296	11000000.0	Comedy
313	tt13848804	78000000.0	Adventure,Family,Musical
314	tt13872598	346899.0	Drama,Short
315	tt13872598	346899.0	Drama,Short
316	tt13885428	17.0	Crime,Drama,Thriller
317	tt13925862	20000000000.0	Comedy,Drama,Family
