	tconst	Box office max	genres
193	tt11992694	31000000.0	Action
194	tt12003946	766000000.0	Crime
195	tt12004038	32000000.0	Drama
196	tt12004038	32000000.0	Documentary
197	tt12004038	32000000.0	Drama
198	tt12078076	38.0	Documentary
199	tt12156272	111000000.0	Short
200	tt12193804	598000000.0	Comedy
201	tt12221818	4853000000.0	Short
202	tt12226632	6000000.0	Action
203	tt12261776	607000000.0	Drama
204	tt12264966	59000000.0	Thriller
205	tt12264966	59000000.0	Comedy
206	tt12337854	63000000.0	Family
207	tt12354886	900000000.0	Horror
208	tt12412888	4054000000.0	Thriller
209	tt12412888	4054000000.0	Biography
210	tt12422308	230.0	Drama
211	tt12427766	39000000.0	War
212	tt12444942	346899.0	Crime
213	tt12444942	346899.0	Drama
214	tt12479248	86000000.0	Mystery
215	tt12479248	86000000.0	Drama
216	tt12484708	2549000000.0	Short
217	tt12487826	443807.0	Drama
218	tt12519030	659009.0	Short
219	tt12519206	25488.0	Drama
220	tt12532368	10885116.0	Short
221	tt12532368	10885116.0	Drama
222	tt12536294	252000000.0	Short
223	tt12536294	252000000.0	Drama
224	tt12536294	252000000.0	Short
225	tt12536294	252000000.0	Drama
226	tt12549474	182.0	Short
227	tt12593682	2393000000.0	Drama
228	tt12598910	1670000000.0	Short
229	tt12664618	188000000.0	Comedy
230	tt12672536	35000000.0	Crime
231	tt12672536	35000000.0	Drama
232	tt12672536	35000000.0	Comedy
233	tt12672536	35000000.0	Comedy
234	tt12672620	216000000.0	Drama
235	tt12672620	216000000.0	Drama
236	tt12672620	216000000.0	Drama
237	tt12672620	216000000.0	Drama
238	tt12718300	656613.0	Drama
239	tt12740382	32000000.0	Short
240	tt12740382	32000000.0	Action
241	tt12740382	32000000.0	Drama
242	tt12749596	443807.0	Sport
243	tt12789558	49000000.0	Drama
244	tt12794388	126068.0	Fantasy
245	tt12794388	126068.0	Horror
246	tt12794388	126068.0	Drama
247	tt12825098	2549000000.0	Short
248	tt12847812	22000000.0	Drama
249	tt12861850	4123.0	Short
250	tt12889404	64000000.0	Drama
251	tt12889404	64000000.0	Short
252	tt12889404	64000000.0	Comedy
253	tt12915716	354.0	Drama
254	tt12921446	137000000.0	Comedy
255	tt13061914	346899.0	Drama
256	tt13061914	346899.0	Romance
257	tt13061966	11057.0	Comedy
258	tt13097336	74441.0	Short
259	tt13105824	32120000.0	Drama
260	tt13106218	11.0	Short
261	tt13108386	32000000.0	Action
262	tt13108386	32000000.0	Thriller
263	tt13108386	32000000.0	Drama
264	tt13130760	11.0	Action
265	tt13130948	4743.0	Adventure
266	tt13131636	1936.0	Animation
267	tt13133408	49000000.0	Drama
268	tt13210170	734000000.0	Romance
269	tt1321510	452000000.0	Short
270	tt13238346	387000000.0	Action
271	tt13269580	19000000.0	Comedy
272	tt13310238	2549000000.0	Comedy
273	tt13321244	49000000.0	Crime
274	tt13328732	12000000.0	Drama
275	tt13328902	4853000000.0	Thriller
276	tt13345606	147000000.0	Documentary
